VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,09/01/2021 06:44:00 AM,09/01/2021 07:24:00 AM,,,259,186,,16.71,48.34,2.75,0,0,3,,0.3,54.39,,,
2,09/01/2021 06:44:00 AM,09/01/2021 07:49:00 AM,,,86,140,,24.68,54.49,5.5,0,0,6.55,,0.3,66.84,,,
2,09/01/2021 06:44:05 AM,09/01/2021 06:57:46 AM,N,1,74,141,1,3.3,12,0,0.5,3.11,0,,0.3,18.66,1,1,2.75
1,09/01/2021 06:44:09 AM,09/01/2021 06:49:16 AM,N,1,74,75,1,1.3,6,0,0.5,1.35,0,,0.3,8.15,1,1,0
2,09/01/2021 06:44:12 AM,09/01/2021 06:50:52 AM,N,1,74,75,1,1.33,7,0,0.5,0,0,,0.3,7.8,2,1,0
1,09/01/2021 06:44:43 AM,09/01/2021 06:48:26 AM,N,1,74,41,1,0.8,4.5,0,0.5,1.05,0,,0.3,6.35,1,1,0
2,09/01/2021 06:45:00 AM,09/01/2021 07:08:00 AM,,,71,61,,3.21,21.37,2.75,0,0,0,,0.3,24.42,,,
2,09/01/2021 06:45:21 AM,09/01/2021 06:52:19 AM,N,1,75,151,1,1.16,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,09/01/2021 06:45:46 AM,09/01/2021 06:57:47 AM,N,1,74,262,6,2.92,11.5,0,0.5,3.01,0,,0.3,18.06,1,1,2.75
2,09/01/2021 06:47:00 AM,09/01/2021 06:57:00 AM,,,82,157,,2,21.45,2.75,0,0,0,,0.3,24.5,,,
2,09/01/2021 06:47:05 AM,09/01/2021 07:08:00 AM,N,1,41,226,1,5.6,20,0,0.5,0,0,,0.3,23.55,1,1,2.75
2,09/01/2021 06:47:14 AM,09/01/2021 06:51:21 AM,N,1,75,74,1,1.22,6,0,0.5,1.7,0,,0.3,8.5,1,1,0
